Test Code,Animals (brackets in different format),,,Test Description,,Test Type,Turn around time,PVS Price (£),PVS Price 5+ (£),PVS Price 10+ (£),PVS Price Other (£),Medium Description,Farmfile SMS Description,Species List,Price List Categories List,In Surveillance (PVS) List,In Intravet,Is Active,Is Package,Package Notes,Constituent Tests List,UKAS Accred,UKAS Accred Notes,Diseases List,Submission Instructions,Sample Type,Sample Quantity,Datasheet List
PC0006,,Histopathology package,,Histopathology package (up to 3 tissues or 3 specimens of 1 tissue),Package,Histopathology,,49.40,49.40,49.40,,Histopathology package,Histopathology package (up to 3 tissues or 3 specimens of 1 tissue),,"Cattle Packages, Histopathology, Pig Packages, Sheep / Goat Packages",TRUE,TRUE,TRUE,TRUE,,"TC0575 : Histology - fixing & despatching tissues, TC0008 : Histology - Preparation of H&E stained section - routine size, TC0010 : Histology interpretation only (without preparation)",No,,,,Fixed tissue,,
PC0059,,,,"Enteric package 1-5 day small ruminants (inc goats): Bacterial culture with identification of isolates and sentest as appropriate, salmonella culture, rota virus, cryptosporidia (5g faeces)",Package,Package,10,54.10,54.10,54.10,,Enteric PC 1-5 day small rumin,Enteric package 1-5 day small ruminants (inc goats),,Sheep / Goat Packages,TRUE,TRUE,TRUE,TRUE,,"TC0401 : Antibiotic sensitivity - aerobe (per plate used), TC0492 : Cryptosporidia smear & ID, TC0829 : E.coli Adhesin test - fimbrex kit (per test K88, K99, 987P), TC0101 : Primary bacterial culture and presumptive identification, TC0582 : Rotavirus antigen, TC0025 : Salmonella culture - ID to group level",Yes,,,,Faeces,5g,
PC0064,,Parasite (egg count and examination) package,,"Parasite disease: Worm egg count & examination for fluke eggs, coccidial oocyst count (40g faeces)",Package,Package,5,39.00,39.00,39.00,,Parasite disease package,Parasite disease package,,"Cattle Packages, Parasitology, Sheep / Goat Packages",TRUE,TRUE,TRUE,TRUE,,"TC0061 : Fluke egg examination (minimum 40g faeces), TC0060 : Worm egg and/or Coccidial oocyst count",Yes,,,,Faeces,40g,
PC0066,,,,"Enteric package 6 to 21 day lambs (inc goats): Salmonella culture, rota virus, cryptosporidia (5g faeces)",Package,Package,10,50.80,50.80,50.80,,Enteric PC 6 to 21 d lamb/goat,Enteric package 6 to 21 day lambs (inc goats),,Sheep / Goat Packages,TRUE,TRUE,TRUE,TRUE,,"TC0492 : Cryptosporidia smear & ID, TC0582 : Rotavirus antigen, TC0025 : Salmonella culture - ID to group level",Yes,,,,Faeces,5g,
PC0067,,,,"Enteric package 1-5 day pigs: Bacterial culture with E.coli adhesin test, rota virus. Intestinal contents or faeces required.",Package,Package,10,40.30,40.30,40.30,,Enteric package 1-5 day pigs,Enteric package 1-5 day pigs,,Pig Packages,TRUE,TRUE,TRUE,TRUE,,"TC0829 : E.coli Adhesin test - fimbrex kit (per test K88, K99, 987P), TC0101 : Primary bacterial culture and presumptive identification, TC0582 : Rotavirus antigen",Yes,,,,Faeces,5g,
PC0068,,,,"Pre- and Peri-weaned enteric package for 6 day to 6 week old pigs: Bacterial culture with E.coli adhesin test, Salmonella culture, rota virus. Request coccidial oocyst count at extra charge, need minimum 3g faeces.",Package,Package,10,47.10,47.10,47.10,,Pre/Peri pig enteric 6d-6w,Pre- and Peri-weaned enteric package for 6 day to 6 week old pigs,,Pig Packages,TRUE,TRUE,TRUE,TRUE,,"TC0829 : E.coli Adhesin test - fimbrex kit (per test K88, K99, 987P), TC0101 : Primary bacterial culture and presumptive identification, TC0582 : Rotavirus antigen, TC0025 : Salmonella culture - ID to group level",Yes,,,,Faeces,5g,
PC0069,,,,"Enteric package 1-5 day calves: Culture for salmonellae and E. coli. with antimicrobial sensitivity profile as appropriate; examination for rota and corona viruses, cryptosporidia (5g faeces)",Package,Package,10,54.10,54.10,54.10,,Enteric package 1-5 day calves,Enteric package 1-5 day calves,,Cattle Packages,TRUE,TRUE,TRUE,TRUE,,"TC0401 : Antibiotic sensitivity - aerobe (per plate used), TC0186 : Coronavirus antigen, TC0492 : Cryptosporidia smear & ID, TC0829 : E.coli Adhesin test - fimbrex kit (per test K88, K99, 987P), TC0101 : Primary bacterial culture and presumptive identification, TC0583 : Rotavirus antigen (Gp A only), TC0025 : Salmonella culture - ID to group level",Yes,,,,Faeces,5g,
PC0070,,,,"Enteric package 6 to 21 day calves: Salmonella culture, rota and corona virus, cryptosporidia (5g faeces)",Package,Package,10,50.80,50.80,50.80,,Enteric package 6 to 21d calf,Enteric package 6 to 21 day calves,,Cattle Packages,TRUE,TRUE,TRUE,TRUE,,"TC0186 : Coronavirus antigen, TC0492 : Cryptosporidia smear & ID, TC0583 : Rotavirus antigen (Gp A only), TC0025 : Salmonella culture - ID to group level",Yes,,,,Faeces,5g,
PC0071,,,,"Enteric package young ruminants from 22 days: Salmonella culture, coccidia and worm egg count (10g faeces)",Package,Package,10,37.70,37.70,37.70,,Enteric package young ruminant,Enteric package young ruminants from 22 days,,"Cattle Packages, Sheep / Goat Packages",TRUE,TRUE,TRUE,TRUE,,"TC0025 : Salmonella culture - ID to group level, TC0060 : Worm egg and/or Coccidial oocyst count",Yes,,,,Faeces,10g,
PC0072,,,,"Grower-Adult enteric package pigs over 6 weeks: Salmonella culture, Brachyspira culture",Package,Package,12,63.50,63.50,63.50,,Grower adult pig over 6w,Grower-Adult enteric package pigs over 6 weeks,,Pig Packages,TRUE,TRUE,TRUE,TRUE,,"TC0331 : Brachyspira culture, TC0495 : Pathogenic Brachyspira PCR, TC0025 : Salmonella culture - ID to group level",Yes,,,,Faeces,10g,
